2020 May 1 	54 	43 	2 	
2019 May 1 	53 	45 	1 	1
2018 May 1 	60 	37 	1 	2
2017 May 3 	57 	39 	2 	2
2016 May 4 	59 	37 	2 	3
2015 May 6 	61 	35 	2 	2
2014 May 8 	58 	37 	2 	3
2013 May 2 	59 	36 	2 	3
2012 May 3 	60 	35 	2 	2
2011 May 5 	56 	39 	3 	3
2010 May 3 	60 	35 	2 	3
2009 May 7 	61 	35 	1 	2
2008 May 8 	54 	39 	3 	3
2007 May 10 	58 	38 	2 	3
2006 May 8 	62 	32 	2 	4
2005 May 2 	64 	32 	2 	2
2004 May 2 	63 	31 	2 	4
2003 May 5 	60 	36 	2 	2
2002 May 6 	59 	35 	2 	4
2001 May 10 	60 	32 	2 	6
