Nominee,Nomination Date,Confirmation Date,Court,Incumbent,Vacancy Reason,Vacancy Date
"Arias-Marxuach,Raul M.",01/23/2019,05/02/2019,01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016
"Carreño-Coll,Silvia",10/15/2019,02/25/2020,01 - PR,"Garcia-Gregory,Jay A.",Senior,09/30/2018
"McElroy,Mary Susan",05/21/2019,09/11/2019,01 - RI,"Lisi,Mary M.",Senior,10/01/2015
"Bianco,Joseph F.",01/23/2019,05/08/2019,02 - CCA,"Raggi,Reena",Senior,08/31/2018
"Menashi,Steven J.",09/09/2019,11/14/2019,02 - CCA,"Jacobs,Dennis",Senior,05/31/2019
"Nardini,William Joseph",09/19/2019,11/07/2019,02 - CCA,"Droney,Christopher F.",Senior,06/30/2019
"Park,Michael H.",01/23/2019,05/09/2019,02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016
"Brown,Gary Richard",05/21/2019,12/19/2019,02 - NYE,"Feuerstein,Sandra J.",Senior,01/21/2015
"Gujarati,Diane",05/21/2019,09/10/2020,02 - NYE,"Gleeson,John",Resigned,03/09/2016
"Komitee,Eric Ross",05/21/2019,12/03/2019,02 - NYE,"Vitaliano,Eric N.",Senior,02/28/2017
"Kovner,Rachel Peter",05/21/2019,10/16/2019,02 - NYE,"Amon,Carol Bagley",Senior,11/30/2016
"Cronan,John Peter",02/27/2020,08/06/2020,02 - NYS,"Pauley III,William H.",Senior,03/01/2018
"Halpern,Philip M.",01/23/2019,02/12/2020,02 - NYS,"Castel,P. Kevin",Senior,08/05/2017
"Liman,Lewis J.",05/21/2019,12/19/2019,02 - NYS,"Crotty,Paul A.",Senior,08/01/2015
"Vyskocil,Mary Kay",05/21/2019,12/19/2019,02 - NYS,"Preska,Loretta A.",Senior,03/01/2017
"Sinatra Jr.,John L.",05/21/2019,12/04/2019,02 - NYW,"Skretny,William M.",Senior,03/08/2015
"Matey,Paul B.",01/23/2019,03/12/2019,03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016
"Phipps,Peter Joseph",05/13/2019,07/16/2019,03 - CCA,"Vanaskie,Thomas I.",Senior,11/30/2018
"Gallagher,John M.",10/15/2019,12/19/2019,03 - PAE,"Slomsky,Joel H.",Senior,10/09/2018
"Marston,Karen Spencer",09/09/2019,12/19/2019,03 - PAE,"Davis,Legrome D.",Senior,09/28/2017
"Wolson,Joshua",01/23/2019,05/02/2019,03 - PAE,"Gardner,James Knoll",Senior,04/03/2017
"Younge,John Milton",01/23/2019,07/31/2019,03 - PAE,"McLaughlin,Mary A.",Senior,11/18/2013
"Wilson,Jennifer Philpott",05/13/2019,11/07/2019,03 - PAM,"Kane,Yvette",Senior,10/11/2018
"Colville,Robert John",03/05/2019,12/19/2019,03 - PAW,"Schwab,Arthur J.",Senior,01/01/2018
"Haines,Stephanie L.",03/05/2019,09/11/2019,03 - PAW,"Cercone,David Stewart",Senior,11/24/2017
"Hardy,William Scott",01/06/2020,07/27/2020,03 - PAW,"Fischer,Nora Barry",Senior,06/13/2019
"Ranjan,J. Nicholas",01/23/2019,07/10/2019,03 - PAW,"Gibson,Kim R.",Senior,06/03/2016
"Stickman IV,William Shaw",05/13/2019,07/31/2019,03 - PAW,"Conti,Joy Flowers",Senior,12/06/2018
"Wiegand,Christy Criswell",02/12/2020,09/09/2020,03 - PAW,"Phipps,Peter J.",Elevated,07/16/2019
"Molloy,Robert Anthony",06/12/2019,02/25/2020,03 - VI,"Gomez,Curtis V.",Expired,02/25/2020
"Rushing,Allison Jones",01/23/2019,03/05/2019,04 - CCA,"Duncan,Allyson Kay",Senior,03/05/2019
"Gallagher,Stephanie Agli",05/21/2019,09/11/2019,04 - MD,"Quarles Jr.,William D.",Retired,02/01/2016
"Myers II,Richard Ernest",09/09/2019,12/05/2019,04 - NCE,"Howard,Malcolm J.",Senior,12/31/2005
"Bell,Kenneth D.",01/23/2019,05/22/2019,04 - NCW,"Voorhees,Richard L.",Senior,08/31/2017
"Dawson III,Joseph",10/23/2020,12/16/2020,04 - SC,"Wooten,Terry L.",Senior,02/28/2019
"Lydon,Sherri A.",10/15/2019,12/05/2019,04 - SC,"Quattlebaum Jr.,A. Marvin",Elevated,08/16/2018
"Alston Jr.,Rossie David",01/23/2019,06/10/2019,04 - VAE,"Lee,Gerald Bruce",Retired,09/30/2017
"Novak,David John",03/26/2019,10/16/2019,04 - VAE,"Hudson,Henry E.",Senior,06/01/2018
"Young,Roderick C.",05/21/2020,09/24/2020,04 - VAE,"Smith,Rebecca Beach",Senior,08/01/2019
"Cullen,Thomas T.",02/04/2020,09/10/2020,04 - VAW,"Conrad,Glen E.",Senior,12/11/2017
"Volk,Frank William",04/04/2019,10/16/2019,04 - WVS,"Copenhaver Jr.,John T.",Senior,11/01/2018
"Wilson,Cory T.",05/04/2020,06/24/2020,05 - CCA,"Jolly,E. Grady",Senior,10/03/2017
"Guidry,Greg Gerard",01/17/2019,06/19/2019,05 - LAE,"Engelhardt,Kurt D.",Elevated,05/09/2018
"Vitter,Wendy",01/23/2019,05/16/2019,05 - LAE,"Berrigan,Helen G.",Senior,08/23/2016
"Cain Jr.,James David",01/23/2019,06/19/2019,05 - LAW,"Minaldi,Patricia H.",Senior,07/31/2017
"Joseph,David Cleveland",01/06/2020,07/28/2020,05 - LAW,"Drell,Dee D.",Senior,11/30/2017
"Johnson,Kristi Haskins",05/04/2020,11/17/2020,05 - MSS,"Starrett,Keith",Senior,04/30/2019
"McNeel,Taylor B.",07/02/2020,12/01/2020,05 - MSS,"Guirola Jr.,Louis",Senior,03/23/2018
"Barker,J. Campbell",01/23/2019,05/01/2019,05 - TXE,"Davis,Leonard E.",Retired,05/15/2015
"Jordan,Sean D.",01/17/2019,07/30/2019,05 - TXE,"Schell,Richard A.",Senior,03/10/2015
"Truncale,Michael J.",01/23/2019,05/14/2019,05 - TXE,"Clark,Ron",Senior,02/28/2018
"Brown,Ada E.",03/26/2019,09/11/2019,05 - TXN,"Means,Terry",Senior,07/03/2013
"Hendrix,James Wesley",01/17/2019,07/30/2019,05 - TXN,"Cummings,Samuel Ray",Senior,12/31/2014
"Kacsmaryk,Matthew J.",01/23/2019,06/19/2019,05 - TXN,"Robinson,Mary Lou",Senior,02/03/2016
"Pittman,Mark T.",01/17/2019,07/31/2019,05 - TXN,"McBryde,John H.",Senior,10/09/2018
"Starr,Brantley",03/11/2019,07/31/2019,05 - TXN,"Fitzwater,Sidney A.",Senior,09/22/2018
"Brown,Jeffrey Vincent",03/11/2019,07/31/2019,05 - TXS,"Harmon,Melinda",Senior,03/31/2018
"Eskridge III,Charles R.",05/13/2019,10/16/2019,05 - TXS,"Miller,Gray H.",Senior,12/09/2018
"Morales,David Steven",01/23/2019,04/10/2019,05 - TXS,"Jack,Janis Graham",Senior,06/01/2011
"Tipton,Drew B.",02/04/2020,06/03/2020,05 - TXS,"Lake III,Simeon Timothy",Senior,07/05/2019
"Pulliam,Jason K.",03/05/2019,07/31/2019,05 - TXW,"Sparks,Sam",Senior,12/31/2017
"Murphy,Eric E.",01/23/2019,03/07/2019,06 - CCA,"Batchelder,Alice M.",Senior,03/07/2019
"Readler,Chad A.",01/23/2019,03/06/2019,06 - CCA,"Cook,Deborah L.",Senior,03/06/2019
"Beaton,Benjamin Joel",09/08/2020,11/17/2020,06 - KYW,"Walker,Justin R.",Elevated,06/18/2020
"Walker,Justin Reed",06/24/2019,10/24/2019,06 - KYW,"McKinley Jr.,Joseph H.",Senior,06/09/2019
"Davis,Stephanie Dawkins",03/11/2019,12/19/2019,06 - MIE,"Rosen,Gerald E.",Senior,10/26/2016
"Jarbou,Hala Y.",03/18/2020,09/10/2020,06 - MIW,"Bell,Robert Holmes",Senior,01/31/2017
"Barker,Pamela A.",01/23/2019,06/12/2019,06 - OHN,"Nugent,Donald C.",Senior,01/01/2017
"Calabrese,J. Philip",03/03/2020,12/01/2020,06 - OHN,"Boyko,Christopher A.",Senior,01/06/2020
"Knepp II,James Ray",03/03/2020,11/10/2020,06 - OHN,"Zouhary,Jack",Senior,07/01/2019
"Cole,Douglas Russell",05/13/2019,12/04/2019,06 - OHS,"Dlott,Susan J.",Senior,05/31/2018
"McFarland,Matthew Walden",01/23/2019,12/18/2019,06 - OHS,"Rose,Thomas M.",Senior,06/30/2017
"Morrison,Sarah Daggett",01/23/2019,06/11/2019,06 - OHS,"Frost,Gregory L.",Retired,05/02/2016
"Newman,Michael Jay",03/03/2020,10/22/2020,06 - OHS,"Barrett,Michael R.",Senior,02/15/2019
"Atchley Jr.,Charles Edward",09/22/2020,12/17/2020,06 - TNE,"Mattice Jr.,Harry S.",Senior,03/10/2020
"Corker,Clifton L.",01/23/2019,07/18/2019,06 - TNE,"Greer,J. Ronnie",Senior,06/30/2018
"Crytzer,Katherine A.",09/22/2020,12/16/2020,06 - TNE,"Reeves,Pamela L.",Deceased,09/10/2020
"Kirsch II,Thomas L.",11/16/2020,12/15/2020,07 - CCA,"Barrett,Amy Coney",Elevated,10/26/2020
"Johnston,Iain D.",02/12/2020,09/17/2020,07 - ILN,"Kapala,Frederick J.",Senior,05/10/2019
"Kness,John Fitzgerald",06/24/2019,02/12/2020,07 - ILN,"Der-Yeghiayan,Samuel",Retired,02/17/2018
"Pacold,Martha Maria",05/21/2019,07/31/2019,07 - ILN,"Darrah,John W.",Senior,03/01/2017
"Rowland,Mary M.",05/21/2019,07/31/2019,07 - ILN,"St. Eve,Amy J.",Elevated,05/14/2018
"Seeger,Steven C.",05/21/2019,09/11/2019,07 - ILN,"Zagel,James B.",Senior,10/21/2016
