PI,538,Econ,result
AK,0.104,0.1514,0.0432,0
AL,0.025,0.0164,0.0,0
AR,0.015,0.0095,0.0,0
AZ,0.5343,0.7112,0.7215,1
CA,0.9212,0.998,1.0,1
CO,0.8775,0.9644,0.9983,1
CT,0.945,0.9993,1.0,1
DC,0.9648,1.0,1.0,1
DE,0.9303,1.0,1.0,1
FL,0.4106,0.6817,0.7368,0
GA,0.4167,0.5744,0.534,0
HI,0.945,0.9933,1.0,1
IA,0.2598,0.3753,0.3694,0
ID,0.025,0.0058,0.0,0
IL,0.9078,0.9985,1.0,1
IN,0.045,0.0451,0.0002,0
KS,0.045,0.0291,0.0015,0
KY,0.035,0.0153,0.0,0
LA,0.0248,0.027,0.0004,0
MA,0.9403,0.9995,1.0,1
MD,0.9171,0.9995,1.0,1
ME,0.8592,0.9068,0.9984,1
MI,0.6683,0.9506,0.9759,1
MN,0.7402,0.9585,0.9824,1
MO,0.0647,0.0711,0.0155,0
MS,0.0452,0.0858,0.0034,0
MT,0.0995,0.1565,0.0094,0
NC,0.4783,0.6461,0.6486,0
ND,0.035,0.0226,0.0,0
NE,0.0443,0.0058,0.0001,0
NH,0.765,0.8886,0.9756,1
NJ,0.9171,0.994,1.0,1
NM,0.885,0.9766,0.9965,1
NV,0.7548,0.873,0.934,1
NY,0.8883,0.9999,1.0,1
OH,0.3005,0.4913,0.3337,0
OK,0.025,0.0056,0.0,0
OR,0.9029,0.9782,1.0,1
PA,0.5913,0.8726,0.9309,1
RI,0.9409,0.9993,1.0,1
SC,0.0644,0.0916,0.0176,0
SD,0.0354,0.0524,0.0,0
TN,0.035,0.0294,0.0,0
TX,0.2892,0.3945,0.263,0
UT,0.0352,0.0421,0.0,0
VA,0.8873,0.9899,0.9955,1
VT,0.95,0.9951,1.0,1
WA,0.9171,0.9917,1.0,1
WI,0.6942,0.939,0.9614,1
WV,0.025,0.0086,0.0,0
WY,0.0248,0.0016,0.0,0
